target,window_size_s,feature_set,model,split_type,n_windows,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,folds,fold_mcc_mean,fold_mcc_std
multiclass,15.0,thermal_only,hist_gradient_boosting,group_cv,458,65,0.1812227074235808,0.1546412229955324,0.15055108842022594,0.1546412229955324,0.1524604509591894,-0.009225730726406662,4,0.012016178679137329,0.09764009707100041
multiclass,15.0,thermal_only,knn,group_cv,458,65,0.11135371179039301,0.09576420086998437,0.08392633195710682,0.09576420086998437,0.08906141022840951,-0.09257858853396511,4,-0.07272421267889945,0.06383945240363113
multiclass,15.0,thermal_only,logistic_regression,group_cv,458,65,0.3056768558951965,0.29297066044307507,0.25157532317611936,0.29297066044307507,0.2624088622175586,0.15760687756472144,4,0.13040847110406967,0.010755789082405291
multiclass,15.0,thermal_only,random_forest,group_cv,458,65,0.16375545851528384,0.14082748574301965,0.13932330972560858,0.14082748574301965,0.13969980267385454,-0.029867602172872623,4,-0.005297822622740173,0.09751894910879645
multiclass,15.0,thermal_only,svm_rbf,group_cv,458,65,0.12008733624454149,0.11299756918015728,0.12968888703723672,0.11299756918015728,0.11615745516675373,-0.06254274017267408,4,-0.08714513884678747,0.07232127942266506
multiclass,2.0,motion_only,dummy_most_frequent,random_window_leakage_diagnostic,3890,106,0.2723535457348407,0.16666666666666666,0.04539225762247345,0.16666666666666666,0.07135164243403339,0.0,1,0.0,0.0
multiclass,2.0,motion_only,extra_trees,random_window_leakage_diagnostic,3890,106,0.8653648509763617,0.8198774893308015,0.8470909740147441,0.8198774893308015,0.8250250041093748,0.8348911373251462,1,0.8348911373251462,0.0
multiclass,2.0,motion_only,hist_gradient_boosting,random_window_leakage_diagnostic,3890,106,0.8797533401849948,0.8444479433345529,0.8596622489012783,0.8444479433345529,0.8496070672926845,0.8522783549750642,1,0.8522783549750642,0.0
multiclass,2.0,motion_only,knn,random_window_leakage_diagnostic,3890,106,0.817060637204522,0.7706634296726159,0.7931392196468542,0.7706634296726159,0.7763105417303852,0.7749939730751545,1,0.7749939730751545,0.0
multiclass,2.0,motion_only,logistic_regression,random_window_leakage_diagnostic,3890,106,0.7769784172661871,0.7458310228216661,0.7419531535540497,0.7458310228216661,0.7375116584975775,0.7288903994417907,1,0.7288903994417907,0.0
multiclass,2.0,motion_only,random_forest,random_window_leakage_diagnostic,3890,106,0.8550873586844809,0.8111106497278554,0.8298774595772263,0.8111106497278554,0.8147561629449059,0.8220946869213017,1,0.8220946869213017,0.0
multiclass,2.0,motion_only,svm_rbf,random_window_leakage_diagnostic,3890,106,0.8036998972250771,0.7619624836257759,0.7626966998871737,0.7619624836257759,0.7573307122176152,0.7599816623992404,1,0.7599816623992404,0.0
multiclass,2.0,motion_pulse,dummy_most_frequent,random_window_leakage_diagnostic,3890,144,0.2723535457348407,0.16666666666666666,0.04539225762247345,0.16666666666666666,0.07135164243403339,0.0,1,0.0,0.0
multiclass,2.0,motion_pulse,extra_trees,random_window_leakage_diagnostic,3890,144,0.8900308324768756,0.8609098462252999,0.8711757141843823,0.8609098462252999,0.8646724604075432,0.8648072718498501,1,0.8648072718498501,0.0
multiclass,2.0,motion_pulse,hist_gradient_boosting,random_window_leakage_diagnostic,3890,144,0.9013360739979445,0.8811131621762245,0.8846304955388266,0.8811131621762245,0.8827279035158028,0.8786967828349196,1,0.8786967828349196,0.0
multiclass,2.0,motion_pulse,knn,random_window_leakage_diagnostic,3890,144,0.8304213771839671,0.7885670306914513,0.8101637133172582,0.7885670306914513,0.794898190135433,0.7913404903682215,1,0.7913404903682215,0.0
multiclass,2.0,motion_pulse,logistic_regression,random_window_leakage_diagnostic,3890,144,0.8108941418293937,0.7853533838900933,0.7753350009857791,0.7853533838900933,0.7779946229782678,0.7689412744359899,1,0.7689412744359899,0.0
multiclass,2.0,motion_pulse,random_forest,random_window_leakage_diagnostic,3890,144,0.8787255909558068,0.8486430675061412,0.8541481944395198,0.8486430675061412,0.8505153575316843,0.8509414394522387,1,0.8509414394522387,0.0
multiclass,2.0,motion_pulse,svm_rbf,random_window_leakage_diagnostic,3890,144,0.8396711202466598,0.8110836920801003,0.8135175759017725,0.8110836920801003,0.8096771534823741,0.8037617818454676,1,0.8037617818454676,0.0
multiclass,2.0,motion_pulse_thermal,dummy_most_frequent,random_window_leakage_diagnostic,3890,209,0.2723535457348407,0.16666666666666666,0.04539225762247345,0.16666666666666666,0.07135164243403339,0.0,1,0.0,0.0
multiclass,2.0,motion_pulse_thermal,extra_trees,random_window_leakage_diagnostic,3890,209,0.9660842754367934,0.9527579162410623,0.9603615524339921,0.9527579162410623,0.9560589950127678,0.9583673393097417,1,0.9583673393097417,0.0
multiclass,2.0,motion_pulse_thermal,hist_gradient_boosting,random_window_leakage_diagnostic,3890,209,0.9650565262076053,0.9594507251144083,0.9591564827237468,0.9594507251144083,0.9591080797028826,0.9571485405927422,1,0.9571485405927422,0.0
multiclass,2.0,motion_pulse_thermal,knn,random_window_leakage_diagnostic,3890,209,0.8705035971223022,0.8251806720558168,0.8552050381444039,0.8251806720558168,0.8329612569838339,0.8410202339992486,1,0.8410202339992486,0.0
multiclass,2.0,motion_pulse_thermal,logistic_regression,random_window_leakage_diagnostic,3890,209,0.8252826310380267,0.8004286214490985,0.7915057215103037,0.8004286214490985,0.7932241744032748,0.7866989841559484,1,0.7866989841559484,0.0
multiclass,2.0,motion_pulse_thermal,random_forest,random_window_leakage_diagnostic,3890,209,0.9301130524152107,0.9118865481137329,0.9200459200562068,0.9118865481137329,0.9152942340927197,0.9142165976999549,1,0.9142165976999549,0.0
multiclass,2.0,motion_pulse_thermal,svm_rbf,random_window_leakage_diagnostic,3890,209,0.8900308324768756,0.8679189017021108,0.8732525251361579,0.8679189017021108,0.8699954606903236,0.8649091740236338,1,0.8649091740236338,0.0
multiclass,2.0,pulse_only,dummy_most_frequent,random_window_leakage_diagnostic,3890,38,0.2723535457348407,0.16666666666666666,0.04539225762247345,0.16666666666666666,0.07135164243403339,0.0,1,0.0,0.0
multiclass,2.0,pulse_only,extra_trees,random_window_leakage_diagnostic,3890,38,0.6793422404933196,0.6404273057167895,0.6757807696066528,0.6404273057167895,0.6514114326819088,0.605897535675559,1,0.605897535675559,0.0
multiclass,2.0,pulse_only,hist_gradient_boosting,random_window_leakage_diagnostic,3890,38,0.6865364850976362,0.6519356697076238,0.6635888896287293,0.6519356697076238,0.6558273109110238,0.6136365086209422,1,0.6136365086209422,0.0
multiclass,2.0,pulse_only,knn,random_window_leakage_diagnostic,3890,38,0.5745118191161357,0.5327877694105472,0.5491476473088562,0.5327877694105472,0.5382075197540466,0.4732729753042644,1,0.4732729753042644,0.0
multiclass,2.0,pulse_only,logistic_regression,random_window_leakage_diagnostic,3890,38,0.5066803699897225,0.5078993501049938,0.5082997290830313,0.5078993501049938,0.4936953459136076,0.40058476574039825,1,0.40058476574039825,0.0
